"Nikto - v2.1.5/2.1.5"
"localhost","127.0.0.1","80","","","","Python/3.11 aiohttp/3.8.6"
"localhost","127.0.0.1SCALAR(0x5654d290eba8)"80","OSVDB-0","GET","/","The anti-clickjacking X-Frame-Options header is not present."
"localhost","127.0.0.1SCALAR(0x5654d290eba8)"80","OSVDB-0","GET","/","Cookie sess_uuid created without the httponly flag"
"localhost","127.0.0.1SCALAR(0x5654d290eba8)"80","OSVDB-27487","GET","/","Apache is vulnerable to XSS via the Expect header"
"localhost","127.0.0.1","80","","","","Python/3.11 aiohttp/3.8.6"
"localhost","127.0.0.1SCALAR(0x55ba4f0aba48)"80","OSVDB-0","GET","/","The anti-clickjacking X-Frame-Options header is not present."
"localhost","127.0.0.1SCALAR(0x55ba4f0aba48)"80","OSVDB-0","GET","/","Cookie sess_uuid created without the httponly flag"
"localhost","127.0.0.1SCALAR(0x55ba4f0aba48)"80","OSVDB-27487","GET","/","Apache is vulnerable to XSS via the Expect header"
"localhost","127.0.0.1SCALAR(0x55ba4f0aba48)"80","OSVDB-34879","GET","/jsp-examples/jsp2/jspx/textRotate.jspx?name=<script>alert(111)</script>","/jsp-examples/jsp2/jspx/textRotate.jspx?name=<script>alert(111)</script>: The tomcat demo files are installed, which are vulnerable to an XSS attack"
"localhost","127.0.0.1SCALAR(0x55ba4f0aba48)"80","OSVDB-34878","GET","/jsp-examples/jsp2/el/implicit-objects.jsp?foo=<script>alert(112)</script>","/jsp-examples/jsp2/el/implicit-objects.jsp?foo=<script>alert(112)</script>: The tomcat demo files are installed, which are vulnerable to an XSS attack"
"localhost","127.0.0.1SCALAR(0x55ba4f0aba48)"80","OSVDB-12721","GET","/jsp-examples/jsp2/el/functions.jsp?foo=<script>alert(113)</script>","/jsp-examples/jsp2/el/functions.jsp?foo=<script>alert(113)</script>: The Tomcat demo files are installed, which are vulnerable to an XSS attack"
"localhost","127.0.0.1","80","","","","Python/3.11 aiohttp/3.8.6"
"localhost","127.0.0.1SCALAR(0x5584d4faaa18)"80","OSVDB-0","GET","/","The anti-clickjacking X-Frame-Options header is not present."
"localhost","127.0.0.1SCALAR(0x5584d4faaa18)"80","OSVDB-0","GET","/","Cookie sess_uuid created without the httponly flag"
"localhost","127.0.0.1SCALAR(0x5584d4faaa18)"80","OSVDB-27487","GET","/","Apache is vulnerable to XSS via the Expect header"
"localhost","127.0.0.1SCALAR(0x5584d4faaa18)"80","OSVDB-3280","GET","/forum/memberlist.php?s=23c37cf1af5d2ad05f49361b0407ad9e&what=\">\"<script>javascript:alert(document.cookie)</script>","/forum/memberlist.php?s=23c37cf1af5d2ad05f49361b0407ad9e&what=\\">\\"<script>javascript:alert(document.cookie)</script>: Vbulletin 2.2.9 and below are vulnerable to Cross Site Scripting (XSS). CA-2000-02."
"localhost","127.0.0.1","80","","","","Python/3.11 aiohttp/3.8.6"
"localhost","127.0.0.1SCALAR(0x5641f7c66378)"80","OSVDB-0","GET","/","The anti-clickjacking X-Frame-Options header is not present."
"localhost","127.0.0.1SCALAR(0x5641f7c66378)"80","OSVDB-0","GET","/","Cookie sess_uuid created without the httponly flag"
"localhost","127.0.0.1SCALAR(0x5641f7c66378)"80","OSVDB-27487","GET","/","Apache is vulnerable to XSS via the Expect header"
"localhost","127.0.0.1SCALAR(0x5641f7c66378)"80","OSVDB-7501","GET","/themes/mambosimple.php?detection=detected&sitename=</title><script>alert(document.cookie)</script>","/themes/mambosimple.php?detection=detected&sitename=</title><script>alert(document.cookie)</script>: Mambo PHP Portal/Server is vulnerable to Cross Site Scripting (XSS). CA-2000-02."
"localhost","127.0.0.1SCALAR(0x5641f7c66378)"80","OSVDB-0","GET","/index.php?option=search&searchword=<script>alert(document.cookie);</script>","/index.php?option=search&searchword=<script>alert(document.cookie);</script>: Mambo Site Server 4.0 build 10 is vulnerable to Cross Site Scripting (XSS). CA-2000-02."
"localhost","127.0.0.1SCALAR(0x5641f7c66378)"80","OSVDB-7505","GET","/emailfriend/emailnews.php?id=\"<script>alert(document.cookie)</script>","/emailfriend/emailnews.php?id=\\"<script>alert(document.cookie)</script>: Mambo PHP Portal/Server is vulnerable to Cross Site Scripting (XSS). CA-2000-02."
"localhost","127.0.0.1SCALAR(0x5641f7c66378)"80","OSVDB-7504","GET","/emailfriend/emailfaq.php?id=\"<script>alert(document.cookie)</script>","/emailfriend/emailfaq.php?id=\\"<script>alert(document.cookie)</script>: Mambo PHP Portal/Server is vulnerable to Cross Site Scripting (XSS). CA-2000-02."
"localhost","127.0.0.1SCALAR(0x5641f7c66378)"80","OSVDB-7503","GET","/emailfriend/emailarticle.php?id=\"<script>alert(document.cookie)</script>","/emailfriend/emailarticle.php?id=\\"<script>alert(document.cookie)</script>: Mambo PHP Portal/Server is vulnerable to Cross Site Scripting (XSS). CA-2000-02."
"localhost","127.0.0.1SCALAR(0x5641f7c66378)"80","OSVDB-0","GET","/administrator/upload.php?newbanner=1&choice=\"<script>alert(document.cookie)</script>","/administrator/upload.php?newbanner=1&choice=\\"<script>alert(document.cookie)</script>: Mambo PHP Portal/Server is vulnerable to Cross Site Scripting (XSS). CA-2000-02."
"localhost","127.0.0.1SCALAR(0x5641f7c66378)"80","OSVDB-7495","GET","/administrator/popups/sectionswindow.php?type=web&link=\"<script>alert(document.cookie)</script>","/administrator/popups/sectionswindow.php?type=web&link=\\"<script>alert(document.cookie)</script>: Mambo PHP Portal/Server is vulnerable to Cross Site Scripting (XSS). CA-2000-02."
